ssn,doc_id
100000011,67
100000012,191
100000013,92
100000014,65
100000015,105
100000016,13
100000017,64
100000018,75
100000019,196
100000020,225
100000021,159
100000022,250
100000023,269
100000024,51
100000025,215
100000026,215
100000027,24
100000028,162
100000029,166
100000030,129
100000031,106
100000032,103
100000033,81
100000034,38
100000035,75
100000036,239
100000037,140
100000038,131
100000039,18
100000040,11
100000041,249
100000042,78
100000043,293
100000044,129
100000045,176
100000046,92
100000047,41
100000048,31
100000049,161
100000050,153
100000051,145
100000052,14
100000053,30
100000054,27
100000055,174
100000056,191
100000057,268
100000058,131
100000059,245
100000060,140
100000061,249
100000062,95
100000063,289
100000064,261
100000065,162
100000066,84
100000067,259
100000068,161
100000069,203
100000070,80
100000071,85
100000072,139
100000073,103
100000074,115
100000075,61
100000076,187
100000077,58
100000078,291
100000079,80
100000080,83
100000081,257
100000082,256
100000083,230
100000084,101
100000085,52
100000086,250
100000087,113
100000088,86
100000089,288
100000090,19
100000091,181
100000092,101
100000093,212
100000094,77
100000095,255
100000096,292
100000097,151
100000098,182
100000099,144
100000100,169
100000101,139
100000102,11
100000103,196
100000104,67
100000105,241
100000106,217
100000107,174
100000108,145
100000109,74
100000110,274
100000111,21
100000112,242
100000113,15
100000114,277
100000115,270
100000116,169
100000117,260
100000118,150
100000119,195
100000120,99
100000121,52
100000122,131
100000123,47
100000124,168
100000125,155
100000126,79
100000127,67
100000128,109
100000129,194
100000130,197
100000131,57
100000132,97
100000133,200
100000134,225
100000135,66
100000136,238
100000137,160
100000138,65
100000139,133
100000140,84
100000141,67
100000142,223
100000143,154
100000144,79
100000145,174
100000146,119
100000147,50
100000148,237
100000149,273
100000150,109
100000151,163
100000152,203
100000153,159
100000154,150
100000155,234
100000156,141
100000157,276
100000158,29
100000159,200
100000160,46
100000161,204
100000162,148
100000163,84
100000164,261
100000165,269
100000166,84
100000167,270
100000168,130
100000169,236
100000170,186
100000171,31
100000172,176
100000173,271
100000174,21
100000175,284
100000176,232
100000177,240
100000178,97
100000179,71
100000180,186
100000181,148
100000182,208
100000183,282
100000184,53
100000185,165
100000186,22
100000187,186
100000188,152
100000189,225
100000190,153
100000191,265
100000192,110
100000193,207
100000194,171
100000195,234
100000196,232
100000197,97
100000198,283
100000199,211
100000200,145
100000201,278
100000202,64
100000203,20
100000204,292
100000205,24
100000206,12
100000207,53
100000208,23
100000209,173
100000210,228
100000211,256
100000212,208
100000213,76
100000214,191
100000215,156
100000216,118
100000217,245
100000218,112
100000219,217
100000220,177
100000221,206
100000222,28
100000223,198
100000224,262
100000225,285
100000226,191
100000227,184
100000228,51
100000229,275
100000230,265
100000231,86
100000232,233
100000233,183
100000234,257
100000235,162
100000236,103
100000237,131
100000238,32
100000239,135
100000240,37
100000241,51
100000242,70
100000243,122
100000244,189
100000245,27
100000246,150
100000247,64
100000248,135
100000249,166
100000250,212
100000251,69
100000252,280
100000253,227
100000254,32
100000255,276
100000256,106
100000257,258
100000258,149
100000259,190
100000260,274
100000261,266
100000262,17
100000263,171
100000264,246
100000265,275
100000266,262
100000267,58
100000268,39
100000269,133
100000270,148
100000271,287
100000272,50
100000273,35
100000274,169
100000275,280
100000276,261
100000277,56
100000278,126
100000279,71
100000280,73
100000281,270
100000282,137
100000283,41
100000284,88
100000285,163
100000286,277
100000287,141
100000288,290
100000289,149
100000290,14
100000291,151
100000292,281
100000293,202
100000294,109
100000295,174
100000296,155
100000297,47
100000298,72
100000299,192
100000300,61
100000301,76
100000302,239
100000303,193
100000304,190
100000305,102
100000306,191
100000307,231
100000308,79
100000309,230
100000310,281
100000311,141
100000312,289
100000313,245
100000314,219
100000315,215
100000316,22
100000317,118
100000318,25
100000319,181
100000320,266
100000321,60
100000322,38
100000323,130
100000324,153
100000325,218
100000326,223
100000327,152
100000328,187
100000329,278
100000330,37
100000331,40
100000332,207
100000333,79
100000334,228
100000335,213
100000336,87
100000337,122
100000338,51
100000339,272
100000340,61
100000341,179
100000342,217
