ssn,fname,lname,age,gender,nurse_id,rec_id
100000011,Brian,Moreno,77,M,282,137
100000012,Bobby,Baldwin,46,M,128,227
100000013,Vincent,Wilkinson,19,F,153,55
100000014,Mitchell,Holt,71,F,251,133
100000015,Brittany,Becker,77,F,188,101
100000016,Raymond,Watson,16,M,226,290
100000017,William,Shields,29,M,164,259
100000018,Lisa,Harris,70,F,234,140
100000019,Emily,Myers,48,F,211,254
100000020,Christopher,Lopez,58,M,122,107
100000021,Christopher,Smith,26,F,225,117
100000022,James,Paul,13,M,115,178
100000023,Karen,Oneal,33,M,181,221
100000024,Brian,Pittman,41,F,233,279
100000025,Bradley,Andersen,22,F,113,265
100000026,Christian,Hudson,75,F,227,123
100000027,Karen,Herrera,31,F,30,76
100000028,Robert,Adams,38,F,150,242
100000029,Larry,Dennis,46,M,51,163
100000030,Amanda,Berry,21,M,277,232
100000031,Judith,Strickland,66,F,30,76
100000032,Shawn,Ferguson,44,F,42,287
100000033,David,Gomez,39,F,99,147
100000034,Patrick,Mitchell,30,M,60,48
100000035,Richard,Tate,49,M,245,62
100000036,Andrew,Shepherd,55,F,239,225
100000037,Christopher,Smith,43,M,88,183
100000038,Gary,Chan,21,M,45,294
100000039,Michael,Flores,50,F,299,77
100000040,Gloria,Ballard,55,F,263,261
100000041,Jennifer,White,15,M,160,53
100000042,Lorraine,Davies,31,M,172,208
100000043,Evelyn,Hogan,36,M,208,54
100000044,Katelyn,Griffith,31,M,12,71
100000045,Madison,Gonzalez,69,M,206,44
100000046,Rachel,Pennington,29,M,285,50
100000047,Natalie,Robinson,43,M,206,44
100000048,Brian,Rogers,60,F,147,104
100000049,Emily,Alexander,17,F,90,63
100000050,Samuel,Mason,21,F,175,115
100000051,Alex,Griffin,24,F,210,54
100000052,Elizabeth,Rodgers,47,F,100,223
100000053,Annette,Mayer,23,M,78,175
100000054,Christopher,Woods,53,M,79,263
100000055,Michael,Johnson,21,F,122,107
100000056,Scott,Hughes,21,F,90,63
100000057,Anthony,Taylor,25,F,135,86
100000058,Deborah,Simon,20,M,143,154
100000059,Robert,Jackson,43,M,236,236
100000060,John,Gordon,25,M,84,114
100000061,Jennifer,Brown,20,F,233,279
100000062,Elizabeth,Rasmussen,39,M,65,82
100000063,Shawn,Floyd,53,M,123,89
100000064,Lucas,Schmidt,59,F,22,119
100000065,Jill,Allen,75,F,173,125
100000066,Jim,Sanchez,76,M,268,182
100000067,Drew,Kim,43,F,187,277
100000068,Connie,Smith,47,F,209,108
100000069,Jason,Cruz,23,F,170,54
100000070,Lauren,Phillips,21,F,135,86
100000071,Jennifer,Stewart,49,M,90,63
100000072,Sandra,Berg,15,M,23,139
100000073,Michael,Smith,47,M,162,84
100000074,Pamela,Griffin,44,M,115,178
100000075,Nicholas,Stanley,13,F,238,118
100000076,Matthew,Sullivan,77,F,132,240
100000077,James,Lewis,46,F,162,84
100000078,Heather,Gonzalez,22,F,138,241
100000079,Tammy,Ortiz,56,F,65,82
100000080,Suzanne,Dyer,41,F,245,62
100000081,David,Clark,64,F,33,79
100000082,Jennifer,Atkins,48,F,59,120
100000083,Ross,Buck,47,F,289,264
100000084,Catherine,Edwards,74,F,208,131
100000085,Aaron,Martin,69,F,137,243
100000086,Steve,Banks,75,M,66,55
100000087,Craig,Williams,37,M,95,128
100000088,Justin,Wells,52,F,252,83
100000089,Laura,Clark,33,M,273,288
100000090,Jose,Buchanan,50,M,252,83
100000091,Ashley,Torres,41,F,113,265
100000092,Eric,Moore,51,M,112,289
100000093,Michelle,Avila,47,F,157,251
100000094,Timothy,Williams,23,F,95,128
100000095,Adam,Richards,38,F,247,151
100000096,Madeline,Medina,78,F,125,250
100000097,Kristen,Oneal,48,F,20,91
100000098,Michael,Wilson,26,M,162,84
100000099,Jody,Webb,71,F,105,61
100000100,William,Thomas,71,F,209,108
100000101,Katherine,Newman,15,M,194,292
100000102,Kimberly,Turner,52,F,76,121
100000103,Doris,Martinez,58,F,131,267
100000104,Aaron,Anderson,59,M,141,207
100000105,Mary,Wagner,55,F,229,291
100000106,Jennifer,Jennings,73,M,233,279
100000107,Kristen,Perez,21,F,251,133
