ssn,reg_no
100000011,27
100000011,24
100000012,24
100000013,25
100000014,21
100000014,24
100000014,24
100000015,28
100000015,22
100000015,28
100000015,25
100000016,21
100000016,26
100000017,25
100000017,20
100000017,26
100000017,20
100000018,23
100000018,25
100000018,22
100000019,25
100000020,24
100000021,24
100000021,29
100000021,24
100000021,24
100000022,27
100000023,23
100000023,20
100000024,20
100000025,26
100000026,23
100000026,27
100000026,24
100000026,29
100000027,27
100000028,26
100000028,20
100000028,23
100000028,26
100000029,21
100000029,29
100000029,20
100000030,23
100000030,27
100000030,21
100000031,24
100000031,21
100000032,26
100000032,25
100000032,25
100000033,28
100000034,25
100000034,23
100000034,28
100000034,20
100000035,25
100000035,29
100000035,21
100000036,20
100000037,21
100000037,29
100000037,29
100000038,27
100000038,25
100000038,23
100000038,25
100000039,24
100000039,23
100000040,20
100000040,21
100000040,22
100000041,21
100000041,22
100000041,22
100000041,21
100000042,22
100000043,24
100000043,23
100000043,24
100000043,25
100000044,20
100000044,25
100000044,22
100000044,20
100000045,29
100000046,23
100000047,29
100000048,28
100000048,27
100000049,27
100000049,23
100000049,29
100000049,26
100000050,20
100000050,21
100000050,21
100000051,23
100000051,28
100000052,28
100000052,27
100000053,26
100000053,28
100000054,27
100000055,22
100000055,25
100000055,28
100000055,21
100000056,29
100000056,25
100000056,21
100000057,23
100000057,28
100000057,26
100000057,24
100000058,27
100000058,24
100000058,29
100000059,21
100000060,24
100000060,21
100000060,26
100000060,25
100000061,29
100000061,27
100000061,21
100000061,20
100000062,28
100000063,21
100000063,28
100000063,23
100000063,26
100000064,24
100000064,25
100000065,24
100000065,25
100000065,21
100000066,21
100000066,21
100000067,25
100000067,26
100000067,20
100000068,21
100000068,27
100000068,25
100000068,26
100000069,21
100000069,20
100000069,28
100000069,22
100000070,27
100000070,29
100000071,28
100000071,23
100000071,24
100000071,27
100000072,22
100000072,23
100000072,26
100000072,29
100000073,26
100000073,20
100000073,21
100000074,26
100000075,27
100000075,29
100000075,25
100000076,29
100000076,26
100000076,25
100000077,29
100000077,20
100000078,28
100000078,24
100000078,21
100000079,27
100000080,20
100000080,21
100000081,28
100000081,22
100000081,21
100000082,24
100000082,22
100000082,23
100000082,24
100000083,27
100000083,25
100000083,29
100000083,25
100000084,21
100000084,23
100000085,24
100000085,21
100000086,27
100000086,21
100000087,20
100000087,23
100000087,27
100000087,27
100000088,22
100000089,29
100000090,29
100000091,25
100000091,26
100000092,26
100000092,23
100000092,24
100000093,21
100000093,22
100000094,23
100000095,24
100000095,24
100000096,21
100000096,25
100000096,25
100000096,29
100000097,27
100000097,22
100000098,22
100000099,20
100000099,23
100000100,28
100000100,23
100000100,24
100000100,23
100000101,28
100000101,20
100000101,24
100000101,29
100000102,27
100000102,24
100000102,21
100000102,21
