visit_date,ssn,hosp_name
2020/5/27,100000011,Dar Al Shifa Hospital
2020/5/8,100000012,King Hamad University Hospital
2021/8/19,100000013,Al-Hilal Hospital
2020/7/3,100000014,King Hamad University Hospital
2019/4/2,100000015,Dar Al Shifa Hospital
2020/4/2,100000016,American Mission Hospital
2020/7/21,100000017,Al-Hilal Hospital
2020/10/22,100000018,King Hamad University Hospital
2020/9/16,100000019,Dar Al Shifa Hospital
2019/3/10,100000020,St Thomas Hospital London
2021/8/9,100000021,American Mission Hospital
2021/7/12,100000022,Bahrain Defence Force Hospital
2020/8/13,100000023,Bahrain Defence Force Hospital
2019/10/2,100000024,Salamaniya Hospital
2021/9/19,100000025,King Hamad University Hospital
2020/1/19,100000026,Salamaniya Hospital
2021/9/2,100000027,Salamaniya Hospital
2019/7/11,100000028,American Mission Hospital
2019/10/20,100000029,King Hamad University Hospital
2019/6/23,100000030,King Hamad University Hospital
2019/10/1,100000031,Salamaniya Hospital
2020/2/7,100000032,King Hamad University Hospital
2019/9/12,100000033,Mayo Clinic
2020/5/16,100000034,Emirates Hospital
2019/6/18,100000035,Al-Hilal Hospital
2021/8/27,100000036,St Thomas Hospital London
2021/2/5,100000037,St Thomas Hospital London
2020/4/15,100000038,Dar Al Shifa Hospital
2021/2/13,100000039,St Thomas Hospital London
2019/11/3,100000040,Al-Hilal Hospital
2020/1/22,100000041,Dar Al Shifa Hospital
2021/11/12,100000042,Mayo Clinic
2020/1/10,100000043,King Hamad University Hospital
2020/1/3,100000044,Al-Hilal Hospital
2019/5/1,100000045,Al-Hilal Hospital
2019/4/12,100000046,Mayo Clinic
2020/8/27,100000047,Al-Hilal Hospital
2021/11/21,100000048,St Thomas Hospital London
2019/2/18,100000049,St Thomas Hospital London
2019/3/13,100000050,Emirates Hospital
2021/10/1,100000051,Emirates Hospital
2021/7/4,100000052,Emirates Hospital
2019/2/2,100000053,Dar Al Shifa Hospital
2020/6/23,100000054,American Mission Hospital
2019/4/1,100000055,St Thomas Hospital London
2021/8/3,100000056,St Thomas Hospital London
2019/1/6,100000057,King Hamad University Hospital
2020/11/27,100000058,St Thomas Hospital London
2020/2/22,100000059,King Hamad University Hospital
2020/11/6,100000060,Bahrain Defence Force Hospital
2021/5/5,100000061,Salamaniya Hospital
2020/7/1,100000062,Dar Al Shifa Hospital
2019/11/5,100000063,Emirates Hospital
2020/11/27,100000064,King Hamad University Hospital
2019/9/27,100000065,Bahrain Defence Force Hospital
2020/1/21,100000066,Mayo Clinic
2019/8/1,100000067,Dar Al Shifa Hospital
2020/4/13,100000068,Salamaniya Hospital
2019/8/16,100000069,American Mission Hospital
2021/10/13,100000070,King Hamad University Hospital
2021/5/13,100000071,St Thomas Hospital London
2019/1/4,100000072,Al-Hilal Hospital
2019/9/21,100000073,Salamaniya Hospital
2021/5/14,100000074,Bahrain Defence Force Hospital
2020/2/18,100000075,Salamaniya Hospital
2019/1/13,100000076,Emirates Hospital
2020/5/20,100000077,Salamaniya Hospital
2019/7/12,100000078,Emirates Hospital
2020/10/20,100000079,Dar Al Shifa Hospital
2021/9/16,100000080,Al-Hilal Hospital
2020/3/15,100000081,St Thomas Hospital London
2021/4/17,100000082,Mayo Clinic
2019/8/12,100000083,King Faisal Specialist Hospital & Research Centre
2020/4/1,100000084,King Hamad University Hospital
2021/8/14,100000085,American Mission Hospital
2021/4/19,100000086,St Thomas Hospital London
2020/7/2,100000087,Bahrain Defence Force Hospital
2019/2/2,100000088,Dar Al Shifa Hospital
2019/7/1,100000089,King Hamad University Hospital
2019/6/16,100000090,Dar Al Shifa Hospital
2019/8/9,100000091,King Hamad University Hospital
2019/4/8,100000092,American Mission Hospital
2021/10/10,100000093,Mayo Clinic
2020/10/15,100000094,Bahrain Defence Force Hospital
2021/2/14,100000095,Mayo Clinic
2020/7/8,100000096,Bahrain Defence Force Hospital
2019/10/16,100000097,American Mission Hospital
2019/8/22,100000098,Salamaniya Hospital
2019/8/20,100000099,American Mission Hospital
2020/4/4,100000100,Salamaniya Hospital
2021/5/26,100000101,Al-Hilal Hospital
2021/11/16,100000102,Mayo Clinic
2020/11/23,100000103,Mayo Clinic
2020/8/11,100000104,King Faisal Specialist Hospital & Research Centre
2020/4/4,100000105,Emirates Hospital
2019/11/8,100000106,Salamaniya Hospital
2019/3/4,100000107,King Hamad University Hospital
2019/10/20,100000108,Mayo Clinic
2021/10/17,100000109,Emirates Hospital
2021/6/26,100000110,Salamaniya Hospital
2021/4/26,100000111,Mayo Clinic
